2,236.562588496,358.595858962
2,239.599697766,360.194337525
2,244.554981312,361.153424663
2,249.510264858,360.993576807
2,253.506461266,357.79661968
2,255.264787685,353.48072756
2,255.424635542,348.845139727
2,251.428439134,344.529247606
2,245.993612019,343.250464755
2,241.517872042,345.168639031
2,238.480762772,348.525444014
2,234.64441422,352.521640422
2,236.562588496,358.595858962
3,323.999365902,413.583521535
3,325.437996609,406.550215857
3,330.872823724,403.193410875
3,338.705368683,404.951737294
3,342.062173666,408.308542277
3,340.623542959,414.382760817
3,334.869020132,417.579717943
3,328.794801592,417.100174374
3,323.999365902,413.583521535
